date,ticker,score,rsi,price,price_future,stock_return_pct,spy_return_pct,alpha_pct
2025-06-16,GOOGL,3,58.0,176.37,182.56,3.51,3.88,-0.37
2025-07-01,GOOGL,3,45.9,175.44,196.09,11.77,2.72,9.04
2025-08-13,GOOGL,3,66.2,201.51,240.04,19.13,1.98,17.15
2025-10-09,GOOGL,2,28.0,241.2,284.36,17.89,-0.13,18.02
2024-06-07,AMZN,3,49.0,184.3,199.34,8.16,4.42,3.74
2024-06-24,AMZN,3,64.3,185.57,186.41,0.45,2.03,-1.58
2024-07-01,AMZN,3,64.1,197.2,181.71,-7.85,-0.61,-7.24
2024-07-09,AMZN,3,69.0,199.34,161.93,-18.77,-6.06,-12.71
2024-10-30,AMZN,3,65.0,192.73,205.74,6.75,3.24,3.51
2024-12-05,AMZN,3,59.5,220.55,227.61,3.2,-1.53,4.73
2025-01-22,AMZN,3,66.1,235.01,222.88,-5.16,0.65,-5.81
2025-02-05,AMZN,3,66.6,236.17,200.7,-15.02,-5.21,-9.8
2025-05-16,AMZN,3,68.9,205.59,216.1,5.11,1.43,3.68
